Ship Encounter,Aphiri Patrol,Distress Beacon,Ship Malfunction,Anomaly
"Passenger ship strictly divided by class: posh galas in ballrooms with star views, harshly divided from underbelly of poor passengers: refugees, servants, criminals",3 Shadows,"Aphiri Trap, roll on Aphiri patrol table",Engine Core malfunction. Kraken is immobile until help arrives. Starfighter wing sent to nearest habitable system to signal for help.,Black Hole
Colourful caravan of trading nomads,"2 Shadows, 1 Ghoul","A small colony under attack, roll on Aphiri patrol table"," life support systems down, requires repairs to oxygen generation, co2 scrubber, and heating within a certain amount of time",Resource-rich asteroid
"Expensive private ship transporting a diplomat for an important negotiation, possibly with elegant courtesan(s)","1 Ghoul, 1 Wight",Black market merchant ship. They will have weapons at 50% reduced cost,micro puncture in the hull! requires repair or slowly lose pressure,Rogue planet
"Massive, city-sized mining station traveling between sites","Capital Vessel, 3 Shadows",Narn civilian ship. They're stranded but hold a dark secret of attempted genetic engineering that's gone wrong.,"cargo hold doors malfunctioning, requires repairs to not lose what's in storage","asteroid belt, time for piloting checks!"
Space pirates!,"1 Shadow, paralyzed",Old Terran supply ship (Auxilairy). Has two random black market armaments.,WELP we got space weevils. gotta throw out all the food.," gas giant, ship's scanners note presence of valuable resources on it, but who knows what lies far beneath the thick, opaque clouds...?"
Military ship transporting soldiers/weapons,,ship needs repairs,"ship AI caught a computer virus. make as light or dark as you like: switching between languages and cracking bad jokes, full on homicidal, or anywhere in between","a quasar!! you can get close to the astronomically intense beams to get a serious boost to your speed / charge your systems / and/or some other mysterious effect, but risk damaging the hull from getting so close"
Smugglers hiding something on a nearby asteroid,,"tiny cryo escape pod drifting through space, person in stasis is sole survivor of disaster","The PCs' ship suffers significant damage, requiring them to set down on the nearest planet before radiation or something kills them all. While on the relatively habitable (but probably not hospitable) wild planet, they must survive the strange environment and its natives, if any, until they can complete repairs and get spaceborne again.",a planet coated in miles-thick ice which covers a planet-sized sea. what stirs in the depths?
Space treasure hunters,,arrive on a perfectly functional ship with a healthy and normal crew. they've been taken over by a brain parasite looking to infiltrate civilisations and take over more hosts. (possibly a survivor or two who locked themselves in the brig),The o2 generator is broken through a spilled drink from one of the party members and they know they have x hours to fix it or find a habitable planet.,"the black box of a ship... OUR ship, with a recording of how we all horrifically died in an alternate timeline, or possibly... the future? how did it get here, and what does it mean?"
System militia patrol,,"mall prison ship; the distress beacon was turned on when the prisoners riot, but by the time the crew arrive it's completely run by the freed prisoners, who are okay guys. prisoners of war, maybe, or a debtor's prison, or imprisoned for ethnic cleansing purposes, etc","A strange smell starts to emit from one of the containers in the cargohold. Upon inspection, your crew finds that the refridgeration of the alien meat fell out and it started to rot. When not immediately inspected, some sort of worms start to eat up all the food and, still ignored, these worms start to evolve and eat the ship like termites.",Dead body in a space suit
1d10x100 year old exploration ship,,it's a trap! space cannibals,"You didn't think much about that shipping container full of alien artifacts that museum asked you to haul. That is, until last night when something inside tore through the container's steel wall and escaped into the air ducts. Inside the container you find seventy-three one meter long sealed sarcophagi... and one broken open.",Huge cloud of space dust
Generation ship from a long lost planet,,Scrap-scavengers set up a decoy distress beacon to draw the PCs' ship into a trap.,"Those twenty shipping containers labeled ""Childrens' Pajamas"" you're delivering? One of them broke open while moving stuff around the hold and it appears to be filled with very illegal automatic weapons. Oh yeah, and the Space Patrol just hailed your ship for a surprise inspection.",Sealed military cargo container (deadly viruses)
Battleship transmitting SOS signal (mutiny on board),,Lifepod (living survivors inside it),Lemon juice rations you brought to combat scurvy have gone missing. An investigation reveals that it was stolen by the janitorial staff in an attempt to brew alcohol.,Cloud of space debris several kilometres wide (remains of a battleship)
Prison ship taken over by inmates,,"Lifepod (lone survivor, insane)",The ships computer gives a puzzling report. Something in your cargo hold has been growing heavier after every FTL jump.,Ancient unexploded missile fitted with nuclear warhead
